Organism,Pathway,Num_Parameters,Mean_Error_%,Median_Error_%,Std_Error_%,Min_Error_%,Max_Error_%,Runtime_Minutes,Runtime_Hours
B. subtilis,GLYCOLYSIS,22,142.70493648933927,10.553042722846431,529.7706796906093,2.202012107060221,2562.1238613747632,441.27084217866263,7.354514036311044
B. subtilis,TCA,16,27.71797506508204,18.55676888973501,32.260177357315165,1.120523177485863,120.04325321985957,1136.1231718063354,18.935386196772257
